mH,mA,mHc,sinba,cba,m12,tb
721.904,983.921,1004.38,0.997927,0.0643584,,9.37925
736.49,997.17,1014.39,0.998335,0.0576829,,9.38494
559.392,987.328,1002.22,0.999936,0.0113187,,9.3853
674.409,868.505,664.839,0.978142,0.207938,,9.38757
761.767,989.522,1008.12,0.999477,0.0323223,,9.39204
966.967,977.083,1022.83,0.999642,0.026757,,9.39245
747.812,994.354,1001.63,0.998601,0.0528698,,9.39393
671.641,774.478,603.358,0.998957,0.0456684,,9.39469
677.468,872.399,648.959,0.977723,0.209897,,9.39835
679.027,871.473,667.082,0.976716,0.214535,,9.39936
977.688,977.903,1035.6,0.999227,0.0393127,,9.40267
939.706,991.922,1018.04,0.998727,0.0504332,,9.40424
774.193,690.817,782.913,0.976707,0.214577,,9.40559999999999
605.863,787.613,578.677,0.998865,0.0476349,,9.41049
784.474,991.165,1011.36,0.999499,0.0316495,,9.41151
589.884,713.258,714.369,0.976817,0.214078,,9.41296
665.679,787.65,600.876,0.998746,0.0500634,,9.41386000000001
760.023,992.047,1003.15,0.998599,0.052912,,9.41512
940.857,989.786,1014.91,0.998952,0.0457802,,9.41633
803.142,688.142,815.477,0.975484,0.22007,,9.41842000000001
714.76,990.329,1002.87,0.998295,0.0583633,,9.41902
791.653,991.087,1005.24,0.998606,0.052779,,9.41922
740.153,998.761,1004.49,0.998855,0.0478366,,9.42201
734.835,687.881,652.748,0.976608,0.215026,,9.42243999999999
765.382,745.106,778.055,0.975265,0.221038,,9.42289
783.346,992.905,1004.48,0.998442,0.0557955,,9.42518
761.126,989.163,1010.54,0.998879,0.0473275,,9.42622
804.478,697.852,797.284,0.975487,0.220057,,9.4264
668.807,984.408,1001.22,0.998295,0.0583726,,9.4273
674.383,998.53,1001.02,0.999554,0.0298726,,9.42757
738.681,991.955,1012.97,0.999119,0.041967,,9.4283
924.344,922.332,1002.07,0.998659,0.0517682,,9.42888
600,515.225,610.654,0.987617,0.156885,,9.42937
832.783,960.811,818.853,0.998247,0.0591933,,9.42998
667.181,874.107,650.151,0.981002,0.193999,,9.43019
977.105,977.305,1036.64,0.99964,0.0268318,,9.43022
924.004,921.925,1005.83,0.998294,0.0583885,,9.43258
784.144,998.121,1004.96,0.998924,0.04637,,9.43714
740.377,988.95,1000.07,0.999027,0.0440985,,9.44017
701.406,996.133,1011.64,0.998656,0.0518221,,9.44181
761.903,897.449,790.193,0.998189,0.0601488,,9.44406000000001
585.578,996.592,1008.1,0.998941,0.0460004,,9.44773
914.331,973.384,1008.57,0.99911,0.04219,,9.44937
764.753,969.69,1000.46,0.999134,0.0416051,,9.44938
781.996,981.462,1000.05,0.99925,0.0387313,,9.44973
765.802,979.013,1002.27,0.998334,0.0577048,,9.44975
794.055,729.938,811.497,0.976148,0.217105,,9.45286000000001
958.566,990.407,1030.74,0.998149,0.060816,,9.4543
682.319,697.584,598.803,0.975557,0.219745,,9.45542
802.639,891.664,759.176,0.998317,0.0579905,,9.45675000000001
915.674,971.477,1007.35,0.998878,0.0473635,,9.45831
798.577,889.732,762.429,0.998264,0.0589003,,9.46115000000001
803.482,696.786,802.559,0.976813,0.214095,,9.46213
796.842,892.376,792.064,0.998733,0.0503302,,9.4637
976.951,974.721,1044.37,0.998644,0.052062,,9.46372
831.541,741.989,810.009,0.97639,0.216015,,9.46427000000001
974.105,976.054,1032.58,0.999276,0.0380493,,9.46442
738.24,984.791,1005.08,0.999493,0.0318427,,9.46516
794.08,880.742,764.292,0.998417,0.0562439,,9.46649
741.501,998.464,1003.34,0.99946,0.0328573,,9.46743
734.465,991.079,1008.56,0.998718,0.0506151,,9.47181
837.251,897.108,747.689,0.998448,0.0556904,,9.47196000000001
572.582,990.771,1005.02,0.99967,0.0256762,,9.47439
636.487,993.768,1009.31,0.999736,0.0229852,,9.47474
739.913,562.895,584.844,0.977594,0.210498,,9.47716000000001
747.873,988.039,1005.87,0.998506,0.0546472,,9.47875
797.483,887.043,799.663,0.999045,0.0436831,,9.48024999999999
795.217,998.68,1022.87,0.99906,0.0433526,,9.48041
585.228,592.879,650.697,0.97672,0.214518,,9.48427
667.139,997.62,1013.46,0.998482,0.0550835,,9.48555
730.819,990.576,1009.19,0.99938,0.03521,,9.48692
761.679,885.18,788.703,0.998062,0.0622299,,9.48772999999999
796.748,997.322,1020.97,0.999457,0.0329636,,9.48829
923.91,924.57,1007.6,0.999109,0.0422022,,9.49284
669.799,990.817,1004.21,0.999087,0.0427222,,9.49501
728.92,759.879,642.401,0.999146,0.0413181,,9.49680000000001
775.405,976.633,1001.65,0.998181,0.0602862,,9.50415
785.649,994.078,1014.77,0.999109,0.0422017,,9.50418
926.192,925.593,1005.48,0.998822,0.0485204,,9.50475
983.288,972.581,1033.93,0.998656,0.0518199,,9.5051
690.88,991.757,1000.1,0.999567,0.0294182,,9.50733
925.519,926.727,1003.18,0.997975,0.06361,,9.50757
639.271,756.299,759.9,0.975783,0.218739,,9.50788
792.983,990.963,1002.18,0.999282,0.0378915,,9.50932
643.521,996.625,1005.07,0.999653,0.026334,,9.51095
694.303,987.432,1006.46,0.999554,0.0298787,,9.51127
790.762,985.031,1008.4,0.999298,0.0374571,,9.51204
689.363,985.271,1003.35,0.999406,0.0344557,,9.51358
731.271,987.549,1001.48,0.999729,0.0232942,,9.52233
794.977,899.388,796.81,0.998969,0.0454008,,9.52254
772.744,995.857,1008.15,0.999305,0.0372774,,9.52298
714.151,618.386,710.097,0.977358,0.211594,,9.52546999999999
977.347,932.221,1024.58,0.999496,0.0317542,,9.52893
761.58,983.206,1000.8,0.998363,0.0572,,9.5293
771.965,884.516,801.562,0.998829,0.048383,,9.52980999999999
783.407,671.104,647.954,0.976311,0.216372,,9.53199999999999
797.556,881.877,759.411,0.998849,0.0479565,,9.53347000000001
944.35,991.074,1009.19,0.999327,0.0366866,,9.53558
782.514,993.273,1003.7,0.998251,0.0591144,,9.53641
977.852,931.493,1020.74,0.999692,0.0248281,,9.53846
797.566,983.434,1022.07,0.999045,0.0436976,,9.53868
791.555,982.455,1004.55,0.999548,0.0300647,,9.53896
633.699,997.871,1005.66,0.999749,0.0223901,,9.54104
957.2,902.683,1001.56,0.999606,0.0280843,,9.54264
785.628,996.398,1006.61,0.99942,0.0340465,,9.54459
570.945,822.523,831.031,0.976691,0.214649,,9.54615
775.574,880.146,790.611,0.998846,0.0480228,,9.54717000000001
895.432,851.563,813.071,0.999357,0.0358587,,9.54895000000001
685.324,993.931,1003.67,0.999745,0.0226028,,9.54987
792.496,863.474,712.188,0.998944,0.0459343,,9.55033
573.998,631.197,652.396,0.975483,0.220075,,9.55105
793.251,995.348,1010.16,0.999517,0.0310835,,9.55646
769.298,883.896,793.991,0.999342,0.0362839,,9.55679
686.73,993.074,1001.65,0.99936,0.035768,,9.55792
891.393,859.886,795.567,0.999461,0.032832,,9.55802000000001
688.735,639.456,603.182,0.975672,0.219235,,9.56036000000001
985.209,958.57,1025.24,0.999852,0.0172019,,9.56433
982.617,902.095,1029.95,0.999363,0.0356951,,9.56792
796.582,990.255,1010.04,0.998347,0.0574762,,9.56959
772.313,994.371,1000.57,0.998196,0.0600437,,9.57354
683.948,993.081,1005.54,0.999499,0.0316594,,9.57378
602.94,706.358,738.115,0.9759,0.218218,,9.57517
921.803,920.352,1003.82,0.998729,0.0504067,,9.57575
765.492,986.472,1002.2,0.998776,0.0494569,,9.57751
801.886,881.609,755.68,0.998823,0.0485099,,9.58138
762.743,976.389,1012.66,0.998716,0.0506493,,9.58188
783.15,870.782,722.595,0.999055,0.043464,,9.58243
893.01,861.62,803.118,0.999306,0.0372422,,9.58339000000001
598.351,862.801,861.675,0.976069,0.217459,,9.58408999999999
917.477,975.083,1006.04,0.998549,0.0538547,,9.58806
747.728,989.954,1005.75,0.999698,0.0245943,,9.58852
792.787,997.995,1008.68,0.999657,0.0261832,,9.58869
747.936,990.614,1012.08,0.998789,0.0491928,,9.58999
776.114,989.772,1008.2,0.9997,0.024481,,9.59091
600,483.222,612.898,0.987847,,,9.68174
761.863,998.276,1015.99,0.999622,0.0275025,,9.73279
977.376,977.367,1031.7,0.998622,0.0524844,,9.73649
763.729,998.134,1019.26,0.998994,0.0448442,,9.73686
836.146,992.783,866.749,0.999081,0.0428507,,9.73808
581.947,343.726,586.633,0.982209,0.187792,,9.74637000000001
800.374,865.156,721.934,0.998521,0.0543643,,9.74835
634.585,994.467,1008.59,0.998701,0.0509461,,9.7494
600,531.052,636.964,0.99859,0.0530828,,9.75336
775.328,874.416,744.859,0.999208,0.0397837,,9.75374
766.295,989.988,1001.42,0.99932,0.0368734,,9.75536
751.513,995.933,1009.75,0.999189,0.0402621,,9.75744
800.315,875.891,737.585,0.998338,0.0576341,,9.75761
765.368,989.586,1004.64,0.999248,0.0387774,,9.75782
785.897,986.428,1002.87,0.998796,0.0490483,,9.75789
720.479,996.692,1010.92,0.998644,0.0520559,,9.75961
800.725,869.993,784.954,0.998491,0.0549245,,9.75967000000001
781.781,992.402,1007.68,0.999103,0.0423361,,9.75969
767.536,865.998,709.555,0.998989,0.0449482,,9.76228
634.515,996.938,1001.67,0.999643,0.0267232,,9.76308
769.729,994.039,1006.62,0.999631,0.0271523,,9.76348
795.563,995.372,1018.9,0.999564,0.0295125,,9.76356
764.695,993.547,1014,0.999363,0.0356839,,9.76696
673.814,434.51,679.281,0.982708,0.185162,,9.76777000000001
980.248,972.538,1046.87,0.999686,0.0250666,,9.76787
790.941,981.655,1001.81,0.998345,0.0575012,,9.76884
939.869,990.087,1007.9,0.998422,0.0561635,,9.77043
791.695,879.935,727.356,0.999072,0.0430623,,9.77250999999999
730.777,998.3,1015.57,0.999515,0.031135,,9.77685
956.042,962.234,1024.44,0.999625,0.0273843,,9.7772
734.154,868.465,756.858,0.999244,0.0388808,,9.78099
792.487,986.008,1008.68,0.999099,0.0424507,,9.78544
698.249,519.309,701.307,0.989438,0.144954,,9.78602
683.664,998.078,1004.51,0.999407,0.0344341,,9.78605
955.382,959.389,1018.56,0.999329,0.036615,,9.7867
