Z7,mH,mHc,mA,sinba,cba,m12,tb,Z4,Z5,l1,l2,l3,l4,l5,l6,l7,alpha,beta,kappa1tt,kappa1bb,g_HpHmh,Gamma_h,Gamma_H,Gamma_Hc,Gamma_A,br_h_bb,br_h_tautau,br_h_gg,br_h_WW,br_h_ZZ,br_h_gaga,br_A_tt,br_A_bb,br_A_gg,br_A_mumu,br_A_tautau,br_A_Zga,br_A_Zh,br_A_ZH,br_A_gaga,br_H_tt,br_H_bb,br_H_gg,br_H_mumu,br_H_tautau,br_H_Zga,br_H_Zh,br_H_WW,br_H_ZZ,br_H_ZA,br_H_AA,br_H_hh,br_H_gaga,br_Hp_tb,br_Hp_taunu,br_Hp_Wh,br_Hp_WH,br_Hp_WA,X_sect_bg_tot,X_sect_bg_h,X_sect_bg_H,X_sect_bg_A,X_sect_bq_tot,X_sect_bq_h,X_sect_bq_H,X_sect_bq_A,X_sect_qq_tot,X_sect_qq_h,X_sect_qq_H,X_sect_qq_A
2.16188,886.414,782.186,798.429,0.95146,0.307773,49689.6,8.39516,1.48587,2.33284,92518.4,3.51138,0.177639,17.5391,2.05558,2.66E-15,-2.61E-15,0.0883138155841789,1.452246947272,1.00314,-0.745737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.516260303656,0.0968889719999999,4.24E-05,1.50E-05,0.03287078487,0.03212649,0.00066116659,0.1696087945,0.004721701,0.002563042,0.0003751623,0.001844289
2.8433,871.496,889.874,738.908,0.943786,0.330558,51381.3,6.97072,6.62114,-1.4908,3.43177,0.252548,17.6506,7.51946,-0.592486,2.66E-15,-3.58E-15,0.140542488745931,1.42832073879843,1.00028,-0.986511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102113466618,0.09533187,5.30E-05,6.42E-05,0.03244057897,0.03393311,0.00085639738,6.42E-05,0.0036117114,0.0025639779999999,0.0003824452,0.0006653469999999
4.1859,763.879,224.74,586.882,0.943886,0.330271,-6.13845,6.06121,-3.45248,6.24399,1.28251,1.39218,23.1769,-2.03572,7.66075,2.66E-15,-2.16E-15,0.385161876100102,1.40729790121362,0.939264,-2.30821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0921955601042,0.092149159,3.86E-05,8.83E-06,0.032439970893,0.03429619,0.00075729064,8.83E-06,0.00301098343,0.002560854,0.0003116491,0.00013850789
2.52262,717.717,336.15,654.719,0.952616,0.304177,67417.7,7.9505,-5.01364,5.39997,4.10453,0.74076,23.4055,-4.31567,6.09795,2.66E-15,-2.62E-15,0.27210460370669,1.44568088800916,0.970796,-2.1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0906443126698,0.090604593,2.61E-05,1.05E-05,0.032454381546,0.03417599,0.0004902571599999,1.05E-05,0.00311072553,0.002564541,0.00025824768,0.000284843
3.9532,813.521,725.772,581.96,0.944297,0.329093,143934,5.17374,6.5438,0.339437,1.13971,0.513799,13.9291,8.15417,1.94981,2.66E-15,-2.39E-15,0.243604164865159,1.37992274118662,0.988426,-1.27138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0882076391754,0.0881784009999999,1.42E-05,1.09E-05,0.032428760496,0.03308693,0.000390203057,1.09E-05,0.00272766112,0.002443092,0.00010552771,0.0001796693
2.45811,821.317,600,601.044,0.971064,0.23882,60952.1,10.8197,4.52741,4.56878,1.09011,0.408124,18.357,4.99153,5.0329,2.66E-15,-2.73E-15,0.14898771661966,1.47863414979313,0.993137,-1.61289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0856538369756,0.085585954,2.26E-05,1.78E-05,0.033211418467,0.03391394,0.000274614068,1.78E-05,0.0036509423,0.002574631,0.00030239627,0.000777204
4.09945,898.624,709.946,733.627,0.999579,0.0290141820322408,169734,5.30522,2.42352,3.55132,0.162426,0.107116,15.1651,4.02758,5.15538,2.66E-15,-2.44E-15,0.153996636680834,1.38451820038851,1.00556,-0.828228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081223339,5.56E-06,1.92E-05,,1.35E-05,0.000371418776,,,0.002456263,0.0001158958,0.0002293862
1.29726,747.222,510.64,606.556,0.953204,0.302329,66952.1,6.90987,-0.134721,3.40039,1.12224,0.776035,20.186,0.848595,4.3837,2.66E-15,-2.66E-15,0.279261218137106,1.42707568938426,0.971273,-1.92455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0773323853003,0.0772476129999999,4.66E-05,1.26E-05,0.032752088778,0.03435468,0.00058101267,1.26E-05,0.0028995065,0.002411813,0.0002228149,0.0002649125
2.45041,817.553,600,651.498,0.969443,0.245316,67648,9.66593,2.31276,4.43897,1.44764,0.370639,18.1165,2.8368,4.963,2.66E-15,-2.71E-15,0.144756923881092,1.46770691768403,0.994823,-1.40176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0759132379047,0.075832547,1.94E-05,1.98E-05,0.033143596861,0.03034104,0.000279701027,1.98E-05,0.00330988131,0.002476472,0.00023873912,0.000589258
2.9664,853.649,789.278,721.263,0.96521,0.261474,81305.9,8.1792,4.2801,0.89073,1.0626,0.354499,19.7828,5.027,1.63763,2.66E-15,-2.78E-15,0.15112764592831,1.44914523576189,0.995962,-1.24065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.070744179103,0.070667938,1.63E-05,4.37E-05,0.0330521325339999,0.03329155,0.00029641356,4.37E-05,0.00310423692,0.002458337,0.00018343236,0.000463264
