      -100           0          10          20          30          40          50          60          70          80          90         100
     1180.00     0.013902    0.014089    0.014214    0.014339    0.014464    0.014589    0.014714    0.014839    0.014964    0.015089    0.015214
     1190.00     0.013616    0.013808    0.013929    0.014049    0.014169    0.014290    0.014410    0.014531    0.014651    0.014771    0.014892
     1200.00     0.013331    0.013528    0.013644    0.013759    0.013875    0.013991    0.014107    0.014222    0.014338    0.014454    0.014569
     1210.00     0.013046    0.013248    0.013359    0.013470    0.013581    0.013692    0.013803    0.013914    0.014025    0.014136    0.014247
     1220.00     0.012761    0.012967    0.013074    0.013180    0.013286    0.013393    0.013499    0.013606    0.013712    0.013819    0.013925
     1230.00     0.012475    0.012687    0.012789    0.012890    0.012992    0.013094    0.013196    0.013298    0.013399    0.013501    0.013603
     1240.00     0.012190    0.012407    0.012504    0.012601    0.012698    0.012795    0.012892    0.012989    0.013086    0.013184    0.013281
     1250.00     0.011905    0.012126    0.012219    0.012311    0.012404    0.012496    0.012589    0.012681    0.012774    0.012866    0.012958
     1260.00     0.011619    0.011846    0.011934    0.012022    0.012109    0.012197    0.012285    0.012373    0.012461    0.012548    0.012636
     1270.00     0.011334    0.011566    0.011649    0.011732    0.011815    0.011898    0.011981    0.012065    0.012148    0.012231    0.012314
     1280.00     0.011049    0.011285    0.011364    0.011442    0.011521    0.011599    0.011678    0.011756    0.011835    0.011913    0.011992
     1290.00     0.010764    0.011005    0.011079    0.011153    0.011226    0.011300    0.011374    0.011448    0.011522    0.011596    0.011670
     1300.00     0.010478    0.010725    0.010794    0.010863    0.010932    0.011001    0.011071    0.011140    0.011209    0.011278    0.011347
     1310.00     0.010193    0.010444    0.010509    0.010573    0.010638    0.010702    0.010767    0.010832    0.010896    0.010961    0.011025
     1320.00     0.009908    0.010164    0.010224    0.010284    0.010344    0.010404    0.010463    0.010523    0.010583    0.010643    0.010703
     1330.00     0.009623    0.009884    0.009939    0.009994    0.010049    0.010105    0.010160    0.010215    0.010270    0.010326    0.010381
     1340.00     0.009337    0.009603    0.009654    0.009704    0.009755    0.009806    0.009856    0.009907    0.009957    0.010008    0.010059
     1350.00     0.009052    0.009323    0.009369    0.009415    0.009461    0.009507    0.009553    0.009599    0.009645    0.009691    0.009736
     1360.00     0.008767    0.009043    0.009084    0.009125    0.009166    0.009208    0.009249    0.009290    0.009332    0.009373    0.009414
     1370.00     0.008482    0.008762    0.008799    0.008836    0.008872    0.008909    0.008945    0.008982    0.009019    0.009055    0.009092
     1380.00     0.008196    0.008482    0.008514    0.008546    0.008578    0.008610    0.008642    0.008674    0.008706    0.008738    0.008770
     1390.00     0.007911    0.008202    0.008229    0.008256    0.008284    0.008311    0.008338    0.008366    0.008393    0.008420    0.008448
     1400.00     0.007626    0.007921    0.007944    0.007967    0.007989    0.008012    0.008035    0.008057    0.008080    0.008103    0.008125
     1410.00     0.007341    0.007641    0.007659    0.007677    0.007695    0.007713    0.007731    0.007749    0.007767    0.007785    0.007803
     1420.00     0.007055    0.007361    0.007374    0.007387    0.007401    0.007414    0.007428    0.007441    0.007454    0.007468    0.007481
     1430.00     0.006770    0.007080    0.007089    0.007098    0.007106    0.007115    0.007124    0.007133    0.007141    0.007150    0.007159
     1440.00     0.006485    0.006800    0.006804    0.006808    0.006812    0.006816    0.006820    0.006824    0.006829    0.006833    0.006837
     1450.00     0.006199    0.006520    0.006519    0.006518    0.006518    0.006517    0.006517    0.006516    0.006516    0.006515    0.006515
     1460.00     0.005914    0.006239    0.006234    0.006229    0.006224    0.006218    0.006213    0.006208    0.006203    0.006198    0.006192
     1470.00     0.005629    0.005959    0.005949    0.005939    0.005929    0.005919    0.005910    0.005900    0.005890    0.005880    0.005870
     1480.00     0.005344    0.005679    0.005664    0.005650    0.005635    0.005620    0.005606    0.005591    0.005577    0.005562    0.005548
     1490.00     0.005058    0.005398    0.005379    0.005360    0.005341    0.005322    0.005302    0.005283    0.005264    0.005245    0.005226
