mh   ctt_Z   cbb_Z   cvv_Z   ctv_Z   cbv_Z   ctb_Z
101  2.14375428e-05  1.46771495e-06  0.0  0  0  6.93343572e-07  2.3598601322e-05
102  2.13015497e-05  1.42512823e-06  0.0  0  0  6.81809503e-07  2.3408487433e-05
103  2.11579305e-05  1.38708766e-06  0.0  0  0  4.57488695e-07  2.3002506855e-05
104  2.10789539e-05  1.34929255e-06  0.0  0  0  6.97879461e-07  2.3126125911e-05
105  2.09359545e-05  1.31193552e-06  0.0  0  0  7.86090455e-07  2.3033980475e-05
106  2.08599159e-05  1.27546557e-06  0.0  0  0  7.65128841e-07  2.2900510311e-05
107  2.0763923e-05  1.24162181e-06  0.0  0  0  6.9866677e-07  2.270421158e-05
108  2.06493598e-05  1.20716635e-06  0.0  0  0  6.66747402e-07  2.2523273552e-05
109  2.04980478e-05  1.17365292e-06  0.0  0  0  6.64011522e-07  2.2335712242e-05
110  2.03888024e-05  1.14390454e-06  0.0  0  0  5.75328976e-07  2.2108035916e-05
111  2.03096013e-05  1.11210314e-06  0.0  0  0  6.24552987e-07  2.2046257427e-05
112  2.01590034e-05  1.08288432e-06  0.0  0  0  6.02247966e-07  2.1844135686e-05
113  2.00807271e-05  1.05423629e-06  0.0  0  0  5.79735729e-07  2.1714699119e-05
114  1.99739209e-05  1.02657921e-06  0.0  0  0  5.41927791e-07  2.1542427901e-05
115  1.98729825e-05  9.98990922e-07  0.0  0  0  6.49371975e-07  2.1521345397e-05
116  1.9722024e-05  9.73060708e-07  0.0  0  0  5.7720806e-07  2.1272292768e-05
117  1.95988103e-05  9.48073287e-07  0.0  0  0  4.96352497e-07  2.1043236084e-05
118  1.9483407e-05  9.22990889e-07  0.0  0  0  5.4823583e-07  2.0954633719e-05
119  1.93949929e-05  8.98323273e-07  0.0  0  0  4.80364371e-07  2.0773680544e-05
120  1.92786318e-05  8.75571333e-07  0.0  0  0  5.36691882e-07  2.0690895015e-05
121  1.91462631e-05  8.52780587e-07  0.0  0  0  5.11532269e-07  2.0510575956e-05
122  1.90609084e-05  8.30575942e-07  0.0  0  0  5.00063016e-07  2.0391547358e-05
123  1.89335295e-05  8.09336262e-07  0.0  0  0  4.96636405e-07  2.0239502167e-05
124  1.88187945e-05  7.87719074e-07  0.0  0  0  5.91066155e-07  2.0197579729e-05
125  1.87099921e-05  7.68219896e-07  0.0  0  0  4.77813179e-07  1.9956025175e-05
126  1.85917638e-05  7.48003778e-07  0.0  0  0  4.83224562e-07  1.982299214e-05
127  1.84971991e-05  7.29054204e-07  0.0  0  0  4.98855309e-07  1.9725108613e-05
128  1.84086061e-05  7.10737937e-07  0.0  0  0  4.41957439e-07  1.9561301476e-05
129  1.82914812e-05  6.92388356e-07  0.0  0  0  4.79936688e-07  1.9463806244e-05
130  1.81861857e-05  6.75285632e-07  0.0  0  0  4.44079943e-07  1.9305551275e-05
131  1.80696142e-05  6.58290598e-07  0.0  0  0  4.77174158e-07  1.9205078956e-05
132  1.79386028e-05  6.41997737e-07  0.0  0  0  3.67529372e-07  1.8948129909e-05
133  1.78328069e-05  6.25784475e-07  0.0  0  0  4.46752831e-07  1.8905344206e-05
134  1.77224652e-05  6.10358494e-07  0.0  0  0  4.18086248e-07  1.8750909942e-05
135  1.76202183e-05  5.94598417e-07  0.0  0  0  4.29345817e-07  1.8644162534e-05
136  1.75289656e-05  5.8039548e-07  0.0  0  0  4.14345044e-07  1.8523706124e-05
137  1.73927105e-05  5.65752481e-07  0.0  0  0  3.91233495e-07  1.8349696476e-05
138  1.72945203e-05  5.51818533e-07  0.0  0  0  4.36165797e-07  1.828250463e-05
139  1.71714218e-05  5.38479807e-07  0.0  0  0  3.34402582e-07  1.8044304189e-05
140  1.70661285e-05  5.25166343e-07  0.0  0  0  3.91566615e-07  1.7982861458e-05
141  1.69653269e-05  5.12424826e-07  0.0  0  0  3.00906931e-07  1.7778658657e-05
142  1.68612617e-05  4.99884759e-07  0.0  0  0  3.25299983e-07  1.7686446442e-05
143  1.67358976e-05  4.8778094e-07  0.0  0  0  3.50744624e-07  1.7574423164e-05
144  1.66322987e-05  4.75741894e-07  0.0  0  0  3.44369413e-07  1.7452410007e-05
145  1.65149563e-05  4.64180218e-07  0.0  0  0  3.80340937e-07  1.7359477455e-05
146  1.64245738e-05  4.53142564e-07  0.0  0  0  2.96884862e-07  1.7174601226e-05
147  1.63157609e-05  4.42253104e-07  0.0  0  0  3.02375091e-07  1.7060389095e-05
148  1.62154138e-05  4.31571527e-07  0.0  0  0  3.07199662e-07  1.6954184989e-05
149  1.60812197e-05  4.21341917e-07  0.0  0  0  3.27448603e-07  1.683001022e-05
150  1.59784529e-05  4.11074151e-07  0.0  0  0  2.98299171e-07  1.6687826222e-05
151  1.58609521e-05  4.01268436e-07  0.0  0  0  3.11240779e-07  1.6573461315e-05
152  1.57628943e-05  3.91590445e-07  0.0  0  0  2.99028457e-07  1.6453513202e-05
153  1.56591249e-05  3.82165987e-07  0.0  0  0  2.83304551e-07  1.6324595438e-05
154  1.55688821e-05  3.73366521e-07  0.0  0  0  2.98925479e-07  1.62411741e-05
155  1.54745182e-05  3.64363535e-07  0.0  0  0  2.58940518e-07  1.6097822253e-05
156  1.53496231e-05  3.55628204e-07  0.0  0  0  2.93151469e-07  1.5998402773e-05
157  1.5233712e-05  3.47373837e-07  0.0  0  0  2.4947938e-07  1.5830565217e-05
158  1.51202848e-05  3.39031052e-07  0.0  0  0  2.86324152e-07  1.5745640004e-05
159  1.50339612e-05  3.31250357e-07  0.0  0  0  2.88013788e-07  1.5653225345e-05
160  1.49366927e-05  3.23597973e-07  0.0  0  0  2.57754373e-07  1.5518045046e-05
161  1.4816864e-05  3.16029453e-07  0.0  0  0  2.6485796e-07  1.5397751413e-05
162  1.47102978e-05  3.08625058e-07  0.0  0  0  2.56212122e-07  1.527513498e-05
163  1.4594364e-05  3.0139566e-07  0.0  0  0  2.5784806e-07  1.515360772e-05
164  1.44991815e-05  2.94498274e-07  0.0  0  0  2.34517385e-07  1.5028197159e-05
165  1.43886597e-05  2.87805334e-07  0.0  0  0  2.25147303e-07  1.4901612337e-05
166  1.42929433e-05  2.81041517e-07  0.0  0  0  2.25135567e-07  1.4799120384e-05
167  1.41886242e-05  2.74477889e-07  0.0  0  0  2.22561958e-07  1.4685664047e-05
168  1.40786497e-05  2.68397043e-07  0.0  0  0  2.03225503e-07  1.4550272246e-05
169  1.39965404e-05  2.62079792e-07  0.0  0  0  2.11427096e-07  1.4470047288e-05
170  1.38831887e-05  2.56043341e-07  0.0  0  0  2.08499113e-07  1.4347731154e-05
171  1.37836816e-05  2.50392704e-07  0.0  0  0  1.92141884e-07  1.4226216188e-05
172  1.36671998e-05  2.44440855e-07  0.0  0  0  2.08242002e-07  1.4119882657e-05
173  1.35760284e-05  2.39021563e-07  0.0  0  0  2.07980716e-07  1.4023030679e-05
174  1.34553218e-05  2.33655274e-07  0.0  0  0  1.86499882e-07  1.3875476956e-05
175  1.33621278e-05  2.28428006e-07  0.0  0  0  1.80754822e-07  1.3771310628e-05
176  1.32881636e-05  2.23152989e-07  0.0  0  0  1.85125164e-07  1.3696441753e-05
177  1.31750182e-05  2.18052018e-07  0.0  0  0  1.92507518e-07  1.3585577736e-05
178  1.3062235e-05  2.13281817e-07  0.0  0  0  1.7218405e-07  1.3447700867e-05
179  1.29506013e-05  2.08528627e-07  0.0  0  0  1.59205287e-07  1.3318335214e-05
180  1.28689403e-05  2.03781061e-07  0.0  0  0  1.69901897e-07  1.3242623258e-05
181  1.2773715e-05  1.99227216e-07  0.0  0  0  1.7593215e-07  1.3148874366e-05
182  1.26699105e-05  1.94837394e-07  0.0  0  0  1.49278395e-07  1.3014026289e-05
183  1.25719116e-05  1.90434815e-07  0.0  0  0  1.48578284e-07  1.2910924699e-05
184  1.24723738e-05  1.86095749e-07  0.0  0  0  1.62411962e-07  1.2820881511e-05
185  1.23559212e-05  1.82117086e-07  0.0  0  0  1.50886488e-07  1.2688924774e-05
186  1.22688381e-05  1.77984399e-07  0.0  0  0  1.52706519e-07  1.2599529018e-05
187  1.21701683e-05  1.74041746e-07  0.0  0  0  1.42486017e-07  1.2486696063e-05
188  1.20702208e-05  1.70252467e-07  0.0  0  0  1.28472092e-07  1.2368945359e-05
189  1.19775589e-05  1.66490519e-07  0.0  0  0  1.36615511e-07  1.228066493e-05
190  1.18796066e-05  1.628599e-07  0.0  0  0  1.24515734e-07  1.2166982234e-05
191  1.17607113e-05  1.59258847e-07  0.0  0  0  1.36343887e-07  1.2056314034e-05
192  1.16812357e-05  1.5580218e-07  0.0  0  0  1.19730043e-07  1.1956767923e-05
193  1.15876839e-05  1.52344455e-07  0.0  0  0  1.21882361e-07  1.1861910716e-05
194  1.14820725e-05  1.49012225e-07  0.0  0  0  1.21320775e-07  1.17524055e-05
195  1.13904254e-05  1.45726294e-07  0.0  0  0  1.26735546e-07  1.166288724e-05
196  1.12927609e-05  1.42616573e-07  0.0  0  0  1.13514491e-07  1.1548891964e-05
197  1.12022757e-05  1.39429171e-07  0.0  0  0  1.17015743e-07  1.1458720614e-05
198  1.10995754e-05  1.36482694e-07  0.0  0  0  1.00719546e-07  1.133677764e-05
