# CMS, CMS-PAS-HIG-18-014, Sept 2018, Fig 6a
# 18014_CMS_pp-tbHpm-taunu_13TeV_35.9fb-1.txt
# Limit is set on sigma(pp->tbH^\pm) x BR(H^\pm -> tau nu) in pb.
# MHp	obs		exp

       2330.          0.4909E-02      0.2400E-02
       2335.          0.4908E-02      0.2399E-02
       2340.          0.4907E-02      0.2398E-02
       2345.          0.4906E-02      0.2396E-02
       2350.          0.4905E-02      0.2395E-02
       2355.          0.4904E-02      0.2394E-02
       2360.          0.4903E-02      0.2393E-02
       2365.          0.4902E-02      0.2392E-02
       2370.          0.4901E-02      0.2390E-02
       2375.          0.4900E-02      0.2389E-02
       2380.          0.4899E-02      0.2388E-02
       2385.          0.4898E-02      0.2387E-02
       2390.          0.4897E-02      0.2386E-02
       2395.          0.4896E-02      0.2384E-02
       2400.          0.4895E-02      0.2383E-02
       2405.          0.4894E-02      0.2382E-02
       2410.          0.4893E-02      0.2381E-02
       2415.          0.4892E-02      0.2380E-02
       2420.          0.4891E-02      0.2378E-02
       2425.          0.4890E-02      0.2377E-02
       2430.          0.4889E-02      0.2376E-02
       2435.          0.4888E-02      0.2375E-02
       2440.          0.4887E-02      0.2374E-02
       2445.          0.4886E-02      0.2373E-02
       2450.          0.4885E-02      0.2371E-02
       2455.          0.4884E-02      0.2370E-02
       2460.          0.4883E-02      0.2369E-02
       2465.          0.4882E-02      0.2368E-02
       2470.          0.4881E-02      0.2367E-02
       2475.          0.4880E-02      0.2365E-02
       2480.          0.4879E-02      0.2364E-02
       2485.          0.4878E-02      0.2363E-02
       2490.          0.4877E-02      0.2362E-02
       2495.          0.4876E-02      0.2361E-02
       2500.          0.4875E-02      0.2359E-02
       2505.          0.4874E-02      0.2358E-02
       2510.          0.4873E-02      0.2357E-02
       2515.          0.4872E-02      0.2356E-02
       2520.          0.4871E-02      0.2355E-02
       2525.          0.4870E-02      0.2354E-02
       2530.          0.4869E-02      0.2352E-02
       2535.          0.4868E-02      0.2351E-02
       2540.          0.4867E-02      0.2350E-02
       2545.          0.4866E-02      0.2349E-02
       2550.          0.4865E-02      0.2348E-02
       2555.          0.4864E-02      0.2346E-02
       2560.          0.4863E-02      0.2345E-02
       2565.          0.4862E-02      0.2344E-02
       2570.          0.4861E-02      0.2343E-02
       2575.          0.4860E-02      0.2342E-02
       2580.          0.4859E-02      0.2340E-02
       2585.          0.4858E-02      0.2339E-02
       2590.          0.4857E-02      0.2338E-02
       2595.          0.4856E-02      0.2337E-02
       2600.          0.4855E-02      0.2336E-02
       2605.          0.4854E-02      0.2335E-02
       2610.          0.4853E-02      0.2333E-02
       2615.          0.4852E-02      0.2332E-02
       2620.          0.4851E-02      0.2331E-02
       2625.          0.4850E-02      0.2330E-02
       2630.          0.4848E-02      0.2329E-02
       2635.          0.4847E-02      0.2327E-02
       2640.          0.4846E-02      0.2326E-02
       2645.          0.4845E-02      0.2325E-02
       2650.          0.4844E-02      0.2324E-02
       2655.          0.4843E-02      0.2323E-02
       2660.          0.4842E-02      0.2321E-02
       2665.          0.4841E-02      0.2320E-02
       2670.          0.4840E-02      0.2319E-02
       2675.          0.4839E-02      0.2318E-02
       2680.          0.4838E-02      0.2317E-02
       2685.          0.4837E-02      0.2315E-02
       2690.          0.4836E-02      0.2314E-02
       2695.          0.4835E-02      0.2313E-02
       2700.          0.4834E-02      0.2312E-02
       2705.          0.4833E-02      0.2311E-02
       2710.          0.4832E-02      0.2310E-02
       2715.          0.4831E-02      0.2308E-02
       2720.          0.4830E-02      0.2307E-02
       2725.          0.4829E-02      0.2306E-02
       2730.          0.4828E-02      0.2305E-02
       2735.          0.4827E-02      0.2304E-02
       2740.          0.4826E-02      0.2302E-02
       2745.          0.4825E-02      0.2301E-02
       2750.          0.4824E-02      0.2300E-02
       2755.          0.4823E-02      0.2299E-02
       2760.          0.4822E-02      0.2298E-02
       2765.          0.4821E-02      0.2296E-02
       2770.          0.4820E-02      0.2295E-02
       2775.          0.4819E-02      0.2294E-02
       2780.          0.4818E-02      0.2293E-02
       2785.          0.4817E-02      0.2292E-02
       2790.          0.4816E-02      0.2291E-02
       2795.          0.4815E-02      0.2289E-02
       2800.          0.4814E-02      0.2288E-02
       2805.          0.4813E-02      0.2287E-02
       2810.          0.4812E-02      0.2286E-02
       2815.          0.4811E-02      0.2285E-02
       2820.          0.4810E-02      0.2283E-02
       2825.          0.4809E-02      0.2282E-02
       2830.          0.4808E-02      0.2281E-02
       2835.          0.4807E-02      0.2280E-02
       2840.          0.4806E-02      0.2279E-02
       2845.          0.4805E-02      0.2277E-02
       2850.          0.4804E-02      0.2276E-02
       2855.          0.4803E-02      0.2275E-02
       2860.          0.4802E-02      0.2274E-02
       2865.          0.4801E-02      0.2273E-02
       2870.          0.4800E-02      0.2272E-02
       2875.          0.4799E-02      0.2270E-02
       2880.          0.4798E-02      0.2269E-02
       2885.          0.4797E-02      0.2268E-02
       2890.          0.4796E-02      0.2267E-02
       2895.          0.4795E-02      0.2266E-02
       2900.          0.4794E-02      0.2264E-02
       2905.          0.4793E-02      0.2263E-02
       2910.          0.4792E-02      0.2262E-02
       2915.          0.4791E-02      0.2261E-02
       2920.          0.4790E-02      0.2260E-02
       2925.          0.4789E-02      0.2258E-02
       2930.          0.4788E-02      0.2257E-02
       2935.          0.4787E-02      0.2256E-02
       2940.          0.4786E-02      0.2255E-02
       2945.          0.4785E-02      0.2254E-02
       2950.          0.4784E-02      0.2252E-02
       2955.          0.4783E-02      0.2251E-02
       2960.          0.4782E-02      0.2250E-02
       2965.          0.4781E-02      0.2249E-02
       2970.          0.4780E-02      0.2248E-02
       2975.          0.4779E-02      0.2247E-02
       2980.          0.4778E-02      0.2245E-02
       2985.          0.4776E-02      0.2244E-02
       2990.          0.4775E-02      0.2243E-02
       2995.          0.4774E-02      0.2242E-02
       3000.          0.4773E-02      0.2241E-02
