# ATLAS, arXiv:1809.06682, Sept. 2018, Fig. 6b
# 6682_Atlas_VBF_h-invisible_13TeV_36.1fb-1.txt
# Limit set on sigma(h,VBF) x BR(h->inv) in pb
# Mh	obs 	exp

       2615.          0.3476          0.2802    
       2620.          0.3477          0.2802    
       2625.          0.3478          0.2803    
       2630.          0.3479          0.2803    
       2635.          0.3480          0.2804    
       2640.          0.3481          0.2804    
       2645.          0.3482          0.2805    
       2650.          0.3482          0.2805    
       2655.          0.3483          0.2806    
       2660.          0.3484          0.2806    
       2665.          0.3485          0.2807    
       2670.          0.3486          0.2807    
       2675.          0.3487          0.2808    
       2680.          0.3488          0.2808    
       2685.          0.3489          0.2809    
       2690.          0.3489          0.2809    
       2695.          0.3490          0.2810    
       2700.          0.3491          0.2811    
       2705.          0.3492          0.2811    
       2710.          0.3493          0.2812    
       2715.          0.3494          0.2812    
       2720.          0.3495          0.2813    
       2725.          0.3496          0.2813    
       2730.          0.3496          0.2814    
       2735.          0.3497          0.2814    
       2740.          0.3498          0.2815    
       2745.          0.3499          0.2815    
       2750.          0.3500          0.2816    
       2755.          0.3501          0.2816    
       2760.          0.3502          0.2817    
       2765.          0.3503          0.2817    
       2770.          0.3504          0.2818    
       2775.          0.3504          0.2818    
       2780.          0.3505          0.2819    
       2785.          0.3506          0.2819    
       2790.          0.3507          0.2820    
       2795.          0.3508          0.2821    
       2800.          0.3509          0.2821    
       2805.          0.3510          0.2822    
       2810.          0.3511          0.2822    
       2815.          0.3511          0.2823    
       2820.          0.3512          0.2823    
       2825.          0.3513          0.2824    
       2830.          0.3514          0.2824    
       2835.          0.3515          0.2825    
       2840.          0.3516          0.2825    
       2845.          0.3517          0.2826    
       2850.          0.3518          0.2826    
       2855.          0.3518          0.2827    
       2860.          0.3519          0.2827    
       2865.          0.3520          0.2828    
       2870.          0.3521          0.2828    
       2875.          0.3522          0.2829    
       2880.          0.3523          0.2829    
       2885.          0.3524          0.2830    
       2890.          0.3525          0.2831    
       2895.          0.3525          0.2831    
       2900.          0.3526          0.2832    
       2905.          0.3527          0.2832    
       2910.          0.3528          0.2833    
       2915.          0.3529          0.2833    
       2920.          0.3530          0.2834    
       2925.          0.3531          0.2834    
       2930.          0.3532          0.2835    
       2935.          0.3532          0.2835    
       2940.          0.3533          0.2836    
       2945.          0.3534          0.2836    
       2950.          0.3535          0.2837    
       2955.          0.3536          0.2837    
       2960.          0.3537          0.2838    
       2965.          0.3538          0.2838    
       2970.          0.3539          0.2839    
       2975.          0.3539          0.2839    
       2980.          0.3540          0.2840    
       2985.          0.3541          0.2841    
       2990.          0.3542          0.2841    
       2995.          0.3543          0.2842    
       3000.          0.3544          0.2842    
