# CMS, CMS-PAS-HIG-18-005, Fig. 5b
# 180052_CMS_bb-A-Zh-Zbb_13TeV_35.9fb-1.txt
# Limit is set on sigma(bb->A) x BR(A->Zh) x BR(h->bb) in pb
# MA	obs		exp

       792.0          0.2645E-01      0.2280E-01
       793.0          0.2594E-01      0.2267E-01
       794.0          0.2542E-01      0.2253E-01
       795.0          0.2490E-01      0.2240E-01
       796.0          0.2438E-01      0.2227E-01
       797.0          0.2386E-01      0.2214E-01
       798.0          0.2335E-01      0.2201E-01
       799.0          0.2283E-01      0.2201E-01
       800.0          0.2231E-01      0.2202E-01
       801.0          0.2179E-01      0.2203E-01
       802.0          0.2149E-01      0.2204E-01
       803.0          0.2118E-01      0.2204E-01
       804.0          0.2087E-01      0.2205E-01
       805.0          0.2056E-01      0.2206E-01
       806.0          0.2026E-01      0.2207E-01
       807.0          0.1995E-01      0.2208E-01
       808.0          0.1964E-01      0.2208E-01
       809.0          0.1933E-01      0.2209E-01
       810.0          0.1903E-01      0.2210E-01
       811.0          0.1872E-01      0.2211E-01
       812.0          0.1841E-01      0.2211E-01
       813.0          0.1810E-01      0.2212E-01
       814.0          0.1780E-01      0.2213E-01
       815.0          0.1749E-01      0.2214E-01
       816.0          0.1718E-01      0.2214E-01
       817.0          0.1687E-01      0.2215E-01
       818.0          0.1657E-01      0.2216E-01
       819.0          0.1626E-01      0.2217E-01
       820.0          0.1595E-01      0.2217E-01
       821.0          0.1564E-01      0.2218E-01
       822.0          0.1534E-01      0.2219E-01
       823.0          0.1503E-01      0.2220E-01
       824.0          0.1472E-01      0.2221E-01
       825.0          0.1464E-01      0.2221E-01
       826.0          0.1457E-01      0.2222E-01
       827.0          0.1449E-01      0.2217E-01
       828.0          0.1441E-01      0.2212E-01
       829.0          0.1433E-01      0.2207E-01
       830.0          0.1426E-01      0.2201E-01
       831.0          0.1418E-01      0.2196E-01
       832.0          0.1410E-01      0.2191E-01
       833.0          0.1403E-01      0.2186E-01
       834.0          0.1395E-01      0.2181E-01
       835.0          0.1387E-01      0.2175E-01
       836.0          0.1379E-01      0.2170E-01
       837.0          0.1372E-01      0.2165E-01
       838.0          0.1364E-01      0.2160E-01
       839.0          0.1356E-01      0.2155E-01
       840.0          0.1349E-01      0.2150E-01
       841.0          0.1341E-01      0.2144E-01
       842.0          0.1333E-01      0.2139E-01
       843.0          0.1325E-01      0.2134E-01
       844.0          0.1318E-01      0.2129E-01
       845.0          0.1310E-01      0.2124E-01
       846.0          0.1302E-01      0.2118E-01
       847.0          0.1294E-01      0.2113E-01
       848.0          0.1287E-01      0.2108E-01
       849.0          0.1279E-01      0.2103E-01
       850.0          0.1288E-01      0.2098E-01
       851.0          0.1296E-01      0.2093E-01
       852.0          0.1305E-01      0.2087E-01
       853.0          0.1314E-01      0.2082E-01
       854.0          0.1322E-01      0.2077E-01
       855.0          0.1331E-01      0.2072E-01
       856.0          0.1339E-01      0.2067E-01
       857.0          0.1348E-01      0.2062E-01
       858.0          0.1357E-01      0.2056E-01
       859.0          0.1365E-01      0.2050E-01
       860.0          0.1374E-01      0.2043E-01
       861.0          0.1382E-01      0.2037E-01
       862.0          0.1391E-01      0.2030E-01
       863.0          0.1400E-01      0.2023E-01
       864.0          0.1408E-01      0.2017E-01
       865.0          0.1417E-01      0.2010E-01
       866.0          0.1426E-01      0.2004E-01
       867.0          0.1434E-01      0.1997E-01
       868.0          0.1443E-01      0.1991E-01
       869.0          0.1451E-01      0.1984E-01
       870.0          0.1460E-01      0.1977E-01
       871.0          0.1469E-01      0.1971E-01
       872.0          0.1477E-01      0.1964E-01
       873.0          0.1486E-01      0.1958E-01
       874.0          0.1495E-01      0.1951E-01
       875.0          0.1503E-01      0.1945E-01
       876.0          0.1512E-01      0.1938E-01
       877.0          0.1520E-01      0.1931E-01
       878.0          0.1529E-01      0.1925E-01
       879.0          0.1538E-01      0.1918E-01
       880.0          0.1546E-01      0.1912E-01
       881.0          0.1555E-01      0.1905E-01
       882.0          0.1563E-01      0.1899E-01
       883.0          0.1572E-01      0.1892E-01
       884.0          0.1581E-01      0.1885E-01
       885.0          0.1589E-01      0.1879E-01
       886.0          0.1598E-01      0.1872E-01
       887.0          0.1607E-01      0.1866E-01
