# CMS, CMS-PAS-HIG-18-005, Fig. 5a
# 180051_CMS_gg-A-Zh-Zbb_13TeV_35.9fb-1.txt
# Limit is set on sigma(gg->A) x BR(A->Zh) x BR(h->bb) in pb
# MA	obs		exp

       638.0          0.3069E-01      0.3132E-01
       639.0          0.3067E-01      0.3118E-01
       640.0          0.3065E-01      0.3104E-01
       641.0          0.3064E-01      0.3091E-01
       642.0          0.3062E-01      0.3077E-01
       643.0          0.3060E-01      0.3063E-01
       644.0          0.3058E-01      0.3049E-01
       645.0          0.3056E-01      0.3036E-01
       646.0          0.3055E-01      0.3022E-01
       647.0          0.3053E-01      0.3008E-01
       648.0          0.3051E-01      0.2995E-01
       649.0          0.3049E-01      0.2981E-01
       650.0          0.3053E-01      0.2967E-01
       651.0          0.3057E-01      0.2968E-01
       652.0          0.3061E-01      0.2968E-01
       653.0          0.3065E-01      0.2969E-01
       654.0          0.3070E-01      0.2969E-01
       655.0          0.3074E-01      0.2970E-01
       656.0          0.3078E-01      0.2971E-01
       657.0          0.3082E-01      0.2971E-01
       658.0          0.3086E-01      0.2972E-01
       659.0          0.3090E-01      0.2972E-01
       660.0          0.3094E-01      0.2973E-01
       661.0          0.3098E-01      0.2973E-01
       662.0          0.3102E-01      0.2974E-01
       663.0          0.3106E-01      0.2975E-01
       664.0          0.3110E-01      0.2975E-01
       665.0          0.3114E-01      0.2976E-01
       666.0          0.3118E-01      0.2976E-01
       667.0          0.3122E-01      0.2977E-01
       668.0          0.3126E-01      0.2977E-01
       669.0          0.3130E-01      0.2978E-01
       670.0          0.3134E-01      0.2979E-01
       671.0          0.3138E-01      0.2979E-01
       672.0          0.3142E-01      0.2980E-01
       673.0          0.3146E-01      0.2980E-01
       674.0          0.3150E-01      0.2981E-01
       675.0          0.3155E-01      0.2982E-01
       676.0          0.3190E-01      0.2965E-01
       677.0          0.3225E-01      0.2949E-01
       678.0          0.3260E-01      0.2933E-01
       679.0          0.3295E-01      0.2917E-01
       680.0          0.3331E-01      0.2901E-01
       681.0          0.3366E-01      0.2885E-01
       682.0          0.3401E-01      0.2869E-01
       683.0          0.3436E-01      0.2853E-01
       684.0          0.3472E-01      0.2836E-01
       685.0          0.3507E-01      0.2820E-01
       686.0          0.3542E-01      0.2804E-01
       687.0          0.3577E-01      0.2788E-01
       688.0          0.3613E-01      0.2772E-01
       689.0          0.3648E-01      0.2756E-01
       690.0          0.3683E-01      0.2740E-01
       691.0          0.3718E-01      0.2724E-01
       692.0          0.3754E-01      0.2707E-01
       693.0          0.3789E-01      0.2691E-01
       694.0          0.3824E-01      0.2675E-01
       695.0          0.3859E-01      0.2659E-01
       696.0          0.3895E-01      0.2643E-01
       697.0          0.3930E-01      0.2627E-01
       698.0          0.3965E-01      0.2611E-01
       699.0          0.4000E-01      0.2595E-01
       700.0          0.4007E-01      0.2578E-01
       701.0          0.4014E-01      0.2572E-01
       702.0          0.4021E-01      0.2565E-01
       703.0          0.4028E-01      0.2558E-01
       704.0          0.4035E-01      0.2552E-01
       705.0          0.4041E-01      0.2545E-01
       706.0          0.4048E-01      0.2538E-01
       707.0          0.4055E-01      0.2532E-01
       708.0          0.4062E-01      0.2525E-01
       709.0          0.4069E-01      0.2519E-01
       710.0          0.4076E-01      0.2512E-01
       711.0          0.4083E-01      0.2505E-01
       712.0          0.4089E-01      0.2499E-01
       713.0          0.4096E-01      0.2492E-01
       714.0          0.4103E-01      0.2485E-01
       715.0          0.4110E-01      0.2479E-01
       716.0          0.4117E-01      0.2472E-01
       717.0          0.4124E-01      0.2465E-01
       718.0          0.4131E-01      0.2459E-01
       719.0          0.4138E-01      0.2452E-01
       720.0          0.4144E-01      0.2445E-01
       721.0          0.4151E-01      0.2439E-01
       722.0          0.4158E-01      0.2432E-01
       723.0          0.4165E-01      0.2425E-01
       724.0          0.4172E-01      0.2419E-01
       725.0          0.4179E-01      0.2412E-01
       726.0          0.4166E-01      0.2405E-01
       727.0          0.4154E-01      0.2399E-01
       728.0          0.4141E-01      0.2392E-01
       729.0          0.4129E-01      0.2385E-01
       730.0          0.4116E-01      0.2379E-01
       731.0          0.4104E-01      0.2372E-01
       732.0          0.4091E-01      0.2365E-01
       733.0          0.4079E-01      0.2359E-01
       734.0          0.4066E-01      0.2352E-01
