m_h	m_H	m_A	tb	xs_gg_h	xs_gg_H	xs_gg_A	xs_bb_h	xs_bb_H	xs_bb_A	br_h_tautau	br_H_tautau	br_A_tautau
90.9487	127.51	95.0	9.0	43.424152	21.924498	39.061844	43.71611	0.8423802	39.699924	0.113376	0.109544	0.112714
91.4173	127.106	95.0	10.0	51.89144	22.23801	48.00802	52.57628	0.8626255	48.19206	0.115469	0.113421	0.11466
92.5823	126.132	95.0	15.0	104.69298	22.90903	102.8568	106.62158	0.84955573	99.78003	0.125959	0.136001	0.124762
93.0033	125.812	95.0	20.0	174.92339	23.627293	170.8968	173.73251	0.7699329	163.68353	0.136723	0.167891	0.135379
93.1954	125.691	95.0	25.0	253.57893	23.815088	248.43587	250.46745	0.6802406	236.68443	0.147844	0.213761	0.146451
93.296	125.647	95.0	30.0	339.52713	23.98327	332.73428	334.19336	0.5973685	316.2946	0.159336	0.277861	0.157952
93.3539	125.638	95.0	35.0	430.46307	24.164642	421.69376	422.8693	0.5248846	400.58133	0.171199	0.362974	0.169866
93.3894	125.645	95.0	40.0	524.54926	24.36475	513.6918	514.9071	0.46283516	488.03918	0.183423	0.468528	0.182177
93.4119	125.661	95.0	45.0	620.32904	24.579643	607.4687	609.0701	0.41023818	577.49304	0.195997	0.589252	0.19487
93.4266	125.68	95.0	50.0	716.6713	24.80317	702.04553	704.393	0.36584902	668.0251	0.208912	0.701421	0.207931
93.4365	125.695	95.0	55.0	812.7271	25.030735	796.6618	800.1132	0.3284327	758.9185	0.222162	0.736569	0.221341
93.4396	125.723	95.0	60.0	907.7024	25.238443	890.7323	895.7532	0.29693273	849.615	0.235668	0.766678	0.235083
70.1988	255.135	100.0	0.5	2.975134	19.07281	289.10538	1.7764258	3.7393795e-06	0.08392714	0.0947589	2.6635e-07	0.0203175
78.9735	203.063	100.0	0.7	4.9418135	20.462936	145.96788	1.4537277	0.0012346077	0.19848117	0.0959929	1.30934e-05	0.0505319
75.1371	180.874	100.0	0.8999999999999999	11.813751	18.840225	86.928185	1.9185518	0.008824813	0.3502975	0.0939875	0.000368166	0.0748567
73.1181	174.513	100.0	1.0	14.923537	17.812	69.76789	2.2236037	0.015093793	0.4400928	0.0932148	0.000738931	0.0825073
73.564	149.817	100.0	2.0	20.118652	14.609675	15.938949	4.741433	0.12914576	1.8375103	0.0951204	0.036569	0.100859
81.6245	140.638	100.0	3.0	16.251682	15.598298	8.000858	6.905146	0.30663687	4.110152	0.0992941	0.0725125	0.102972
86.8802	135.692	100.0	4.0	15.346168	17.042194	7.536642	9.846696	0.5071172	7.2106166	0.102566	0.0873369	0.104597
90.1488	132.747	100.0	5.0	16.499697	18.43047	9.765533	13.642712	0.6990872	11.093431	0.105275	0.0955286	0.106297
92.2667	130.859	100.0	6.0	19.116606	19.569704	13.474516	18.256775	0.8601967	15.715454	0.107685	0.101015	0.108079
93.7009	129.587	100.0	7.0	22.892517	20.477325	18.220581	23.648123	0.98922443	21.035814	0.109935	0.105455	0.109923
94.71	128.696	100.0	8.0	27.629143	21.186073	23.797188	29.77074	1.0888503	27.015808	0.1121	0.109507	0.111814
95.443	128.053	100.0	9.0	33.189655	21.733517	30.090399	36.577927	1.1615663	33.618763	0.114221	0.113477	0.113743
95.9903	127.575	100.0	10.0	39.473694	22.153662	37.023613	44.02715	1.21354	40.80994	0.116321	0.117521	0.115704
97.3733	126.393	100.0	15.0	81.54988	23.824907	79.614334	89.603	1.2785512	84.49486	0.12685	0.140941	0.125886
97.8924	125.982	100.0	20.0	134.12962	24.323746	132.48924	146.25162	1.215661	138.60861	0.137694	0.171663	0.136586
98.1434	125.807	100.0	25.0	194.29135	24.5437	192.75311	210.9801	1.1193421	200.42613	0.148928	0.210761	0.147743
98.2854	125.726	100.0	30.0	259.62103	24.646893	258.27228	281.5424	1.0195378	267.84036	0.16055	0.259023	0.159329
98.3741	125.69	100.0	35.0	328.36655	24.692469	327.41428	356.22018	0.9255728	339.21478	0.172548	0.31726	0.171329
98.4331	125.678	100.0	40.0	399.21933	24.705345	398.91727	433.6878	0.84020454	413.27448	0.184909	0.386265	0.183726
98.4736	125.679	100.0	45.0	471.1907	24.697227	471.80225	512.9186	0.7640674	489.02444	0.197617	0.466757	0.196505
98.5019	125.688	100.0	50.0	543.533	24.674568	545.30865	593.1154	0.6969149	565.6874	0.210659	0.559415	0.20965
98.522	125.696	100.0	55.0	615.70245	24.645142	618.8454	673.6466	0.6380961	642.6564	0.224029	0.66517	0.223145
98.5347	125.709	100.0	60.0	687.2267	24.60246	691.95624	754.0625	0.586853	719.45856	0.237687	0.743604	0.236969
71.7145	256.558	105.0	0.5	2.5576768	18.70634	262.89877	1.6696535	9.364867e-07	0.07203395	0.0952498	2.31971e-07	0.0191708
80.2271	205.123	105.0	0.7	5.2396803	19.884178	132.80193	1.3801384	0.0013649306	0.16964164	0.096161	3.33021e-05	0.0487942
76.3819	183.216	105.0	0.8999999999999999	12.279893	18.094236	79.12926	1.8094119	0.009193928	0.2989834	0.0941111	0.000397845	0.0737158
74.4164	176.93	105.0	1.0	15.363157	17.080538	63.521255	2.0858095	0.015569309	0.37548372	0.0933475	0.000801739	0.0817801
75.8231	152.118	105.0	2.0	19.850952	13.749083	14.429258	4.2005286	0.13506754	1.5659829	0.0954791	0.0341812	0.101602
84.5242	142.566	105.0	3.0	15.666118	14.627488	6.937221	5.9418383	0.33666596	3.5021048	0.099774	0.0742798	0.103841
90.2063	137.295	105.0	4.0	14.181028	16.04744	6.1361194	8.339965	0.58616745	6.1434712	0.103145	0.0901251	0.105494
93.7888	134.085	105.0	5.0	14.472506	17.50052	7.687878	11.450613	0.84746873	9.451343	0.105939	0.0984642	0.10721
96.148	131.982	105.0	6.0	15.992459	18.771154	10.49397	15.253512	1.0915647	13.388966	0.108418	0.103847	0.109006
97.7715	130.536	105.0	7.0	18.473667	19.843884	14.159482	19.718508	1.3041353	17.921522	0.11072	0.108075	0.110864
98.9312	129.505	105.0	8.0	21.768156	20.728582	18.50154	24.813383	1.4835005	23.016037	0.112924	0.111845	0.112769
99.7856	128.747	105.0	9.0	25.762695	21.448263	23.418524	30.502377	1.6308371	28.641272	0.115075	0.115465	0.114713
100.432	128.176	105.0	10.0	30.369328	22.02887	28.8463	36.74862	1.747314	34.767628	0.117199	0.119086	0.116688
102.111	126.713	105.0	15.0	62.350647	24.345516	62.26274	75.1947	2.0144324	71.98398	0.12782	0.138898	0.126947
102.769	126.17	105.0	20.0	102.79894	25.059465	103.78581	123.17333	2.0082643	118.08496	0.138763	0.162657	0.137724
103.094	125.924	105.0	25.0	149.31554	25.317991	151.11871	178.06242	1.9120134	170.74896	0.150099	0.190818	0.14896
103.279	125.802	105.0	30.0	199.96098	25.375418	202.58043	237.92703	1.7812064	228.18098	0.161824	0.223927	0.160626
103.394	125.741	105.0	35.0	253.35458	25.335983	256.88745	301.29788	1.64526	288.9868	0.173921	0.26272	0.172706
103.47	125.712	105.0	40.0	308.46863	25.247055	313.0485	367.04437	1.5151906	352.08026	0.186379	0.308095	0.185184
103.522	125.703	105.0	45.0	364.52402	25.1318	370.29456	434.29184	1.3955393	416.6137	0.19918	0.361148	0.198043
103.558	125.704	105.0	50.0	420.92786	25.002472	428.02835	502.36252	1.2878947	481.92493	0.212311	0.423301	0.211268
103.583	125.71	105.0	55.0	477.2416	24.869614	485.7859	570.7242	1.192354	547.49695	0.225763	0.496665	0.224841
103.601	125.711	105.0	60.0	533.14795	24.74414	543.2066	638.9488	1.1083003	612.9268	0.239535	0.584406	0.238743
73.2448	258.017	110.0	0.5	2.2266529	18.465889	240.0326	1.569757	-2.6023889e-08	0.06216031	0.0957334	1.98629e-07	0.018091
81.4648	207.276	110.0	0.7	5.5698767	19.318972	121.31017	1.3110992	0.0014945024	0.1457843	0.0963101	4.1766e-05	0.0470617
77.5904	185.664	110.0	0.8999999999999999	12.779488	17.372025	72.32164	1.7091604	0.0095200725	0.25658235	0.0942109	0.000424725	0.0724847
75.6691	179.459	110.0	1.0	15.843764	16.356236	58.07093	1.9602745	0.015963582	0.32211328	0.0934533	0.000857334	0.0809452
77.9435	154.583	110.0	2.0	19.84504	12.885716	13.142169	3.7402952	0.13993216	1.3418905	0.0957673	0.0344718	0.102282
87.2218	144.706	110.0	3.0	15.506688	13.608455	6.0939927	5.134751	0.36476243	3.000361	0.100159	0.0753271	0.104659
93.2932	139.14	110.0	4.0	13.680702	14.934948	5.0741296	7.073806	0.6673378	5.26294	0.103623	0.0923806	0.106342
97.1722	135.681	110.0	5.0	13.372173	16.389297	6.128574	9.594791	1.0107449	8.096444	0.106515	0.100855	0.108073
99.7699	133.364	110.0	6.0	14.083077	17.746479	8.26049	12.684734	1.3689426	11.469392	0.109092	0.106035	0.109883
101.59	131.737	110.0	7.0	15.579539	18.968613	11.11226	16.326918	1.7104675	15.351957	0.111485	0.109903	0.111754
102.914	130.552	110.0	8.0	17.733774	20.043694	14.521006	20.50278	2.0248325	19.71589	0.113767	0.113201	0.113673
103.906	129.663	110.0	9.0	20.473087	20.975035	18.397654	25.189592	2.3071527	24.53444	0.115984	0.116252	0.11563
104.669	128.98	110.0	10.0	23.734991	21.773252	22.686094	30.362057	2.5553164	29.782246	0.118162	0.119213	0.11762
106.72	127.16	110.0	15.0	47.556576	24.99256	49.153233	62.587128	3.3178425	61.661594	0.128934	0.134525	0.127949
107.557	126.441	110.0	20.0	78.678474	26.18139	82.073364	103.26395	3.5420601	101.15147	0.139942	0.152014	0.1388
107.978	126.101	110.0	25.0	114.97628	26.642006	119.60597	150.03151	3.5100746	146.26321	0.151328	0.172143	0.15011
